,ss,sod,sdd,dd,condition_no
667,5,22,45,1,44744405.4199559
668,5,22,45,2,26601627.7184509
669,5,22,45,3,7244696.26416207
670,5,22,45,4,6791642.71790835
671,5,22,45,5,30577321.8363071
672,5,23,32,0,91970362.2259943
673,5,23,32,1,180911068.999624
674,5,23,32,2,7596663.76954055
675,5,23,32,3,32032492.4253226
676,5,23,32,4,7888696.68717705
677,5,23,32,5,22732122.4006871
678,5,23,33,0,91970362.2259943
679,5,23,33,1,177686240.115672
680,5,23,33,2,7131962.08330389
681,5,23,33,3,6097221.92617062
682,5,23,33,4,8417521.03056812
683,5,23,33,5,8693713.44307753
684,5,23,34,0,91970362.2259943
685,5,23,34,1,185341792.00365
686,5,23,34,2,22353323.5892981
687,5,23,34,3,7918957.03945742
688,5,23,34,4,8746008.44004384
689,5,23,34,5,8445334.13253861
690,5,23,35,0,91970362.2259943
691,5,23,35,1,192161632.993422
692,5,23,35,2,30572978.4041241
693,5,23,35,3,6560779.2718924
694,5,23,35,4,7994077.73420766
695,5,23,35,5,9598399.54382124
696,5,23,36,0,91970362.2259943
697,5,23,36,1,190470929.286663
698,5,23,36,2,40527241.4204844
699,5,23,36,3,7472866.78546462
700,5,23,36,4,8183975.04003073
701,5,23,36,5,18193525.0493531
702,5,23,37,0,91970362.2259943
703,5,23,37,1,159828976.227208
704,5,23,37,2,27897428.6525244
705,5,23,37,3,6802511.25158044
706,5,23,37,4,16394418.1923933
707,5,23,37,5,16176127.3274371
708,5,23,38,0,91970362.2259943
709,5,23,38,1,143527514.857248
710,5,23,38,2,25113516.5413913
711,5,23,38,3,7058745.81012893
712,5,23,38,4,35754834.7751378
713,5,23,38,5,18398940.3551041
714,5,23,39,0,91970362.2259943
715,5,23,39,1,110106191.34177
716,5,23,39,2,19351883.5225417
717,5,23,39,3,7468610.32400003
718,5,23,39,4,22421186.4619969
719,5,23,39,5,16833883.5650626
720,5,23,40,0,91970362.2259943
721,5,23,40,1,89988923.2745577
722,5,23,40,2,19461776.8801142
723,5,23,40,3,6470307.02396966
724,5,23,40,4,22456584.6970598
725,5,23,40,5,7888696.68717705
726,5,23,41,0,91970362.2259943
727,5,23,41,1,81610625.9603011
728,5,23,41,2,20608053.6906698
729,5,23,41,3,7057079.44746028
730,5,23,41,4,23283286.866085
731,5,23,41,5,8780513.89256833
732,5,23,42,0,91970362.2259943
733,5,23,42,1,72165748.2696611
734,5,23,42,2,19759018.9907619
735,5,23,42,3,15099264.8830352
736,5,23,42,4,33556686.4713536
737,5,23,42,5,8347332.28742242
738,5,23,43,0,91970362.2259943
739,5,23,43,1,71200090.7698465
740,5,23,43,2,20359838.0758637
741,5,23,43,3,15020896.188482
742,5,23,43,4,39299294.2762594
743,5,23,43,5,8323390.67700608
744,5,23,44,0,91970362.2259943
745,5,23,44,1,52893861.7161025
746,5,23,44,2,19673977.7833683
747,5,23,44,3,7534615.43399782
748,5,23,44,4,6097221.92617062
749,5,23,44,5,19134308.8065247
750,5,23,45,0,91970362.2259943
751,5,23,45,1,53034229.7046064
752,5,23,45,2,18624680.8157679
753,5,23,45,3,7352793.75393796
754,5,23,45,4,6567627.274986
755,5,23,45,5,8183975.04003073
756,5,24,32,0,91970362.2259943
757,5,24,32,1,178777070.895306
758,5,24,32,2,7533974.82866974
759,5,24,32,3,23360076.9539921
760,5,24,32,4,17346264.3732338
761,5,24,32,5,22732122.4006871
762,5,24,33,0,91970362.2259943
763,5,24,33,1,178508552.798245
764,5,24,33,2,7298315.00472644
